id,text,label
3375452109,stop bringing your pain forward,0
14464046101,I heard someone cleared level 256 on the Google PacMan Doodle today...that is sick!,0
12562879303,#twitterafterdark i want a sexy tat on one of my spots... am I gonna get horny if I like pain...?   o_O,0
13643744504,Whyy do I always sit next to the loudest mofo in here!! Mayb If I cough on him do yall think he'll move?!,0
7735947708,"I am as sick as a dog again and I do not even feel like barking.  Awf, awf.",1
16270392802,i'm so f-ing sick of my meds & f-ing needle .my body not worth a sh*t! just venting,1
2601370702,@jessesaraceno what? You didn't see it coming? She's been pregnant for what? 9 months??,1
16306243310,"Its not until u get really sick, that u really miss being a kid, and being at home =)",1
13300190812,Didn't make it to Gabbys last nite I was OD tired plus had a headache...  Don't worry Summer Swing was well promoted by THE SQUAD!!!!,1
3550664707,"@Romnelvan So, what is it then?  Pregnancy? LOL Did you take some Pepto Bismol.",0
6803365902,@iAMebSTAR i aint no pain in the neck eb,0
2332547403,"The idea of #FashionAgainstAids is almost ludicrous. Who is for AIDS, exactly?",0
26827729904,I'm allergic to the sun.,1
17158395602,i want more doctor who now,0
4132963401,my mom just bought me a sick shoe rack haha I'll twitpic it later bc it is epic,0
10708877913,Sick and Tired of being sick and tired,1
26390902605,Woke up with a freaking headache today... And the biochemistry exam didn't really help to cure it... :(,1
11869412900,Ian Dury died of cancer WAY before Malcolm Maclaren did.,1
22898311906,"lmao fml please do not remind me how sick guv was, brb getting my shotgun...",0
15179985601,"@raghavarajubv :)! I'm very healthy.  I'm a bit of an exercise and health ""nut"" I love feeling fantastic.  Exercise makes you feel great!",1
5178999013,"@RafaEelDaario Yes. I'm LOVE sick. Which is, btw, the name of an episode of JONAS.",0
4119253002,@suttonn doesn't seem like it's worth the extra headache of extra bills in addition to the tuition bills.,0
13825130002,they say home is where your heart is...but Puumba says its where your rump rests :s confusion; which way home?,0
23209357301,I don't wanna be around when any pregnant woman's water break,0
3267784107,@JudeL LOL! actually activists use Tweetdeck or TweetGrid & add words like #breastfeeding or #circumcision to receive auto notifications.,0
22916698105,"@taranoodle very, very poorly indeed. *cough*",0
21771242800,I have a major headache... :(,1
12453913514,Still sick.,1
5549910900,"sweet bald spot, danzig. Maybe thats why your cronies are stopping everyone from taking pictures.",0
6425947203,"I will never doubt @jackieare again. Crime shows rock. :) [[I could go w/o my dad snoring tho, geesh]]",0
12237750210,@DougH you probably don't want to hear this but cycling always triggers sciatica for me...,1
20314009003,I'm dying of heat stroke,1
7155806703,@iantalbot @AndrewRatcliffe I noticed smoking bit cos all the current anti-smoking adverts are making me want to smoke after not since Feb.,0
10673598603,imma shave my pubic hair off like the dudes in the pornos.... I think I can increase my stroke speed,0
